longitude,latitude,type
42.8155287557,-94.3910654104,5
42.8157882454,-94.3910593721,5
42.8160477352,-94.3910533337,1
42.8163072252,-94.3910472953,1
42.8165667152,-94.3910412569,1
42.8168262053,-94.3910352184,1
42.8170856955,-94.3910291799,1
42.8173451859,-94.3910231413,1
42.8176046763,-94.3910171027,1
42.8178641668,-94.391011064,176
42.8181236574,-94.3910050253,176
42.8183831482,-94.3909989865,176
42.818642639,-94.3909929477,1
42.8189021299,-94.3909869089,1
42.8191616209,-94.39098087,1
42.819421112,-94.390974831,1
42.8196806032,-94.390968792,121
42.8199400946,-94.390962753,1
42.820199586,-94.3909567139,1
42.8204590775,-94.3909506748,1
42.8207185691,-94.3909446356,1
42.8209780608,-94.3909385964,1
42.8212375526,-94.3909325572,1
42.8214970445,-94.3909265179,1
42.8217565366,-94.3909204785,1
42.8220160287,-94.3909144391,1
42.8222755209,-94.3909083997,1
42.8225350132,-94.3909023602,1
42.8227945056,-94.3908963207,1
42.8230539981,-94.3908902811,1
42.8233134907,-94.3908842415,1
42.8235729834,-94.3908782018,1
42.8238324762,-94.3908721621,1
42.8240919691,-94.3908661224,1
42.8243514621,-94.3908600826,1
42.8246109552,-94.3908540427,1
42.8248704484,-94.3908480028,1
42.8251299417,-94.3908419629,1
42.8253894351,-94.3908359229,1
42.8256489286,-94.3908298829,1
42.8259084222,-94.3908238428,1
42.8261679159,-94.3908178027,1
42.8264274097,-94.3908117625,1
42.8266869036,-94.3908057223,1
42.8269463976,-94.390799682,1
42.8272058917,-94.3907936418,1
42.8274653859,-94.3907876014,1
